array_index,prompt_id,family_id,family_name,case_id,variant,expected_outcome,outcome_positive,outcome_negative,numeric_direction,future_presentation_order,option_free_stem,complete_answer_code_prompt
10,obstacle-spacing-orowan--copper-alloy-90-30--physics_paraphrase--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,copper-alloy-90-30,physics_paraphrase,lower,higher,lower,increase,negative-first,"For the same copper alloy, every obstacle attribute is unchanged except the slip-plane gap, which widens from 0.03 micrometers to 0.09 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles.","For the same copper alloy, every obstacle attribute is unchanged except the slip-plane gap, which widens from 0.03 micrometers to 0.09 micrometers. Select the trend in stress required for a dislocation to bow between impenetrable particles. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
11,obstacle-spacing-orowan--copper-alloy-90-30--lexical_counterfactual--answer-code,obstacle-spacing-orowan,Obstacle spacing and Orowan stress,copper-alloy-90-30,lexical_counterfactual,higher,higher,lower,decrease,negative-first,"In a copper alloy, mean clear spacing between non-shearable obstacles changes from 90 nanometers to 30 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress?","In a copper alloy, mean clear spacing between non-shearable obstacles changes from 90 nanometers to 30 nanometers while particle size, volume fraction, dislocation character, shear modulus, and Burgers vector remain fixed. What happens to Orowan bypass stress? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
12,porosity-modulus--sintered-alumina-12-3--anchor--answer-code,porosity-modulus,Porosity and elastic modulus,sintered-alumina-12-3,anchor,greater,greater,smaller,decrease,positive-first,"A sintered alumina specimen changes from 12 percent to 3 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A sintered alumina specimen changes from 12 percent to 3 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output A; if it is smaller, output B. Answer exactly one uppercase letter: A or B."
13,porosity-modulus--sintered-alumina-12-3--physics_paraphrase--answer-code,porosity-modulus,Porosity and elastic modulus,sintered-alumina-12-3,physics_paraphrase,greater,greater,smaller,decrease,positive-first,"In the same sintered alumina, void volume fraction falls from 0.12 to 0.03 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness.","In the same sintered alumina, void volume fraction falls from 0.12 to 0.03 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
14,porosity-modulus--sintered-alumina-12-3--lexical_counterfactual--answer-code,porosity-modulus,Porosity and elastic modulus,sintered-alumina-12-3,lexical_counterfactual,smaller,greater,smaller,increase,positive-first,"A sintered alumina specimen changes from 3 percent to 12 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A sintered alumina specimen changes from 3 percent to 12 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
15,porosity-modulus--porous-titanium-20-5--anchor--answer-code,porosity-modulus,Porosity and elastic modulus,porous-titanium-20-5,anchor,smaller,greater,smaller,increase,negative-first,"A porous titanium specimen changes from 5 percent to 20 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A porous titanium specimen changes from 5 percent to 20 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output A; if it is greater, output B. Answer exactly one uppercase letter: A or B."
16,porosity-modulus--porous-titanium-20-5--physics_paraphrase--answer-code,porosity-modulus,Porosity and elastic modulus,porous-titanium-20-5,physics_paraphrase,smaller,greater,smaller,increase,negative-first,"In the same porous titanium, void volume fraction rises from 0.05 to 0.2 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness.","In the same porous titanium, void volume fraction rises from 0.05 to 0.2 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
17,porosity-modulus--porous-titanium-20-5--lexical_counterfactual--answer-code,porosity-modulus,Porosity and elastic modulus,porous-titanium-20-5,lexical_counterfactual,greater,greater,smaller,decrease,negative-first,"A porous titanium specimen changes from 20 percent to 5 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A porous titanium specimen changes from 20 percent to 5 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
18,porosity-modulus--silicon-nitride-8-2--anchor--answer-code,porosity-modulus,Porosity and elastic modulus,silicon-nitride-8-2,anchor,greater,greater,smaller,decrease,positive-first,"A silicon nitride specimen changes from 8 percent to 2 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A silicon nitride specimen changes from 8 percent to 2 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output A; if it is smaller, output B. Answer exactly one uppercase letter: A or B."
19,porosity-modulus--silicon-nitride-8-2--physics_paraphrase--answer-code,porosity-modulus,Porosity and elastic modulus,silicon-nitride-8-2,physics_paraphrase,greater,greater,smaller,decrease,positive-first,"In the same silicon nitride, void volume fraction falls from 0.08 to 0.02 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness.","In the same silicon nitride, void volume fraction falls from 0.08 to 0.02 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
20,porosity-modulus--silicon-nitride-8-2--lexical_counterfactual--answer-code,porosity-modulus,Porosity and elastic modulus,silicon-nitride-8-2,lexical_counterfactual,smaller,greater,smaller,increase,positive-first,"A silicon nitride specimen changes from 2 percent to 8 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A silicon nitride specimen changes from 2 percent to 8 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is greater, output B; if it is smaller, output A. Answer exactly one uppercase letter: A or B."
21,porosity-modulus--sandstone-16-4--anchor--answer-code,porosity-modulus,Porosity and elastic modulus,sandstone-16-4,anchor,smaller,greater,smaller,increase,negative-first,"A quartz-rich sandstone specimen changes from 4 percent to 16 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A quartz-rich sandstone specimen changes from 4 percent to 16 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output A; if it is greater, output B. Answer exactly one uppercase letter: A or B."
22,porosity-modulus--sandstone-16-4--physics_paraphrase--answer-code,porosity-modulus,Porosity and elastic modulus,sandstone-16-4,physics_paraphrase,smaller,greater,smaller,increase,negative-first,"In the same quartz-rich sandstone, void volume fraction rises from 0.04 to 0.16 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness.","In the same quartz-rich sandstone, void volume fraction rises from 0.04 to 0.16 while the load-bearing solid skeleton and all non-porosity defects are unchanged. Select the trend in macroscopic stiffness. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
23,porosity-modulus--sandstone-16-4--lexical_counterfactual--answer-code,porosity-modulus,Porosity and elastic modulus,sandstone-16-4,lexical_counterfactual,greater,greater,smaller,decrease,negative-first,"A quartz-rich sandstone specimen changes from 16 percent to 4 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus?","A quartz-rich sandstone specimen changes from 16 percent to 4 percent connected porosity while solid composition, grain structure, moisture, and crack density remain fixed. What happens to effective elastic modulus? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is smaller, output B; if it is greater, output A. Answer exactly one uppercase letter: A or B."
24,pearlite-spacing-strength--eutectoid-steel-300-100--anchor--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,eutectoid-steel-300-100,anchor,higher,higher,lower,decrease,positive-first,"In fully pearlitic eutectoid steel, ferrite-cementite interlamellar spacing changes from 300 nanometers to 100 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic eutectoid steel, ferrite-cementite interlamellar spacing changes from 300 nanometers to 100 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
25,pearlite-spacing-strength--eutectoid-steel-300-100--physics_paraphrase--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,eutectoid-steel-300-100,physics_paraphrase,higher,higher,lower,decrease,positive-first,"The same pearlitic eutectoid steel keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates contracts from 0.3 micrometers to 0.1 micrometers. Select the trend in flow strength.","The same pearlitic eutectoid steel keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates contracts from 0.3 micrometers to 0.1 micrometers. Select the trend in flow strength. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
26,pearlite-spacing-strength--eutectoid-steel-300-100--lexical_counterfactual--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,eutectoid-steel-300-100,lexical_counterfactual,lower,higher,lower,increase,positive-first,"In fully pearlitic eutectoid steel, ferrite-cementite interlamellar spacing changes from 100 nanometers to 300 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic eutectoid steel, ferrite-cementite interlamellar spacing changes from 100 nanometers to 300 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
27,pearlite-spacing-strength--rail-steel-240-80--anchor--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,rail-steel-240-80,anchor,lower,higher,lower,increase,negative-first,"In fully pearlitic rail steel, ferrite-cementite interlamellar spacing changes from 80 nanometers to 240 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic rail steel, ferrite-cementite interlamellar spacing changes from 80 nanometers to 240 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
28,pearlite-spacing-strength--rail-steel-240-80--physics_paraphrase--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,rail-steel-240-80,physics_paraphrase,lower,higher,lower,increase,negative-first,"The same pearlitic rail steel keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates expands from 0.08 micrometers to 0.24 micrometers. Select the trend in flow strength.","The same pearlitic rail steel keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates expands from 0.08 micrometers to 0.24 micrometers. Select the trend in flow strength. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
29,pearlite-spacing-strength--rail-steel-240-80--lexical_counterfactual--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,rail-steel-240-80,lexical_counterfactual,higher,higher,lower,decrease,negative-first,"In fully pearlitic rail steel, ferrite-cementite interlamellar spacing changes from 240 nanometers to 80 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic rail steel, ferrite-cementite interlamellar spacing changes from 240 nanometers to 80 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
30,pearlite-spacing-strength--wire-steel-180-60--anchor--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,wire-steel-180-60,anchor,higher,higher,lower,decrease,positive-first,"In fully pearlitic high-carbon wire steel, ferrite-cementite interlamellar spacing changes from 180 nanometers to 60 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic high-carbon wire steel, ferrite-cementite interlamellar spacing changes from 180 nanometers to 60 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
31,pearlite-spacing-strength--wire-steel-180-60--physics_paraphrase--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,wire-steel-180-60,physics_paraphrase,higher,higher,lower,decrease,positive-first,"The same pearlitic high-carbon wire steel keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates contracts from 0.18 micrometers to 0.06 micrometers. Select the trend in flow strength.","The same pearlitic high-carbon wire steel keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates contracts from 0.18 micrometers to 0.06 micrometers. Select the trend in flow strength. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
32,pearlite-spacing-strength--wire-steel-180-60--lexical_counterfactual--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,wire-steel-180-60,lexical_counterfactual,lower,higher,lower,increase,positive-first,"In fully pearlitic high-carbon wire steel, ferrite-cementite interlamellar spacing changes from 60 nanometers to 180 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic high-carbon wire steel, ferrite-cementite interlamellar spacing changes from 60 nanometers to 180 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
33,pearlite-spacing-strength--pearlitic-iron-360-120--anchor--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,pearlitic-iron-360-120,anchor,lower,higher,lower,increase,negative-first,"In fully pearlitic pearlitic cast iron, ferrite-cementite interlamellar spacing changes from 120 nanometers to 360 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic pearlitic cast iron, ferrite-cementite interlamellar spacing changes from 120 nanometers to 360 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
34,pearlite-spacing-strength--pearlitic-iron-360-120--physics_paraphrase--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,pearlitic-iron-360-120,physics_paraphrase,lower,higher,lower,increase,negative-first,"The same pearlitic pearlitic cast iron keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates expands from 0.12 micrometers to 0.36 micrometers. Select the trend in flow strength.","The same pearlitic pearlitic cast iron keeps its chemistry and colony architecture, but the separation between adjacent ferrite and cementite plates expands from 0.12 micrometers to 0.36 micrometers. Select the trend in flow strength. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
35,pearlite-spacing-strength--pearlitic-iron-360-120--lexical_counterfactual--answer-code,pearlite-spacing-strength,Pearlite spacing and yield strength,pearlitic-iron-360-120,lexical_counterfactual,higher,higher,lower,decrease,negative-first,"In fully pearlitic pearlitic cast iron, ferrite-cementite interlamellar spacing changes from 360 nanometers to 120 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength?","In fully pearlitic pearlitic cast iron, ferrite-cementite interlamellar spacing changes from 360 nanometers to 120 nanometers while composition, colony size, texture, prior-austenite grain size, and porosity remain fixed. What happens to yield strength? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
36,dislocation-density-strength--copper-1e14-1e12--anchor--answer-code,dislocation-density-strength,Dislocation density and flow strength,copper-1e14-1e12,anchor,higher,higher,lower,increase,positive-first,"A high-purity copper specimen changes dislocation density from 1e12 per square meter to 1e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity copper specimen changes dislocation density from 1e12 per square meter to 1e14 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output A; if it is lower, output B. Answer exactly one uppercase letter: A or B."
37,dislocation-density-strength--copper-1e14-1e12--physics_paraphrase--answer-code,dislocation-density-strength,Dislocation density and flow strength,copper-1e14-1e12,physics_paraphrase,higher,higher,lower,increase,positive-first,"In the same high-purity copper, line-defect content rises from 1 per square micrometer to 100 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress.","In the same high-purity copper, line-defect content rises from 1 per square micrometer to 100 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
38,dislocation-density-strength--copper-1e14-1e12--lexical_counterfactual--answer-code,dislocation-density-strength,Dislocation density and flow strength,copper-1e14-1e12,lexical_counterfactual,lower,higher,lower,decrease,positive-first,"A high-purity copper specimen changes dislocation density from 1e14 per square meter to 1e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity copper specimen changes dislocation density from 1e14 per square meter to 1e12 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is higher, output B; if it is lower, output A. Answer exactly one uppercase letter: A or B."
39,dislocation-density-strength--aluminum-8e13-8e11--anchor--answer-code,dislocation-density-strength,Dislocation density and flow strength,aluminum-8e13-8e11,anchor,lower,higher,lower,decrease,negative-first,"A high-purity aluminum specimen changes dislocation density from 8e13 per square meter to 8e11 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening?","A high-purity aluminum specimen changes dislocation density from 8e13 per square meter to 8e11 per square meter while grain size, solute content, precipitates, texture, porosity, and temperature remain fixed. What happens to yield strength under Taylor strengthening? Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output A; if it is higher, output B. Answer exactly one uppercase letter: A or B."
40,dislocation-density-strength--aluminum-8e13-8e11--physics_paraphrase--answer-code,dislocation-density-strength,Dislocation density and flow strength,aluminum-8e13-8e11,physics_paraphrase,lower,higher,lower,decrease,negative-first,"In the same high-purity aluminum, line-defect content falls from 80 per square micrometer to 0.8 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress.","In the same high-purity aluminum, line-defect content falls from 80 per square micrometer to 0.8 per square micrometer. No grain, solute, particle, texture, pore, or thermal variable changes. Select the trend in flow stress. Internal checkpoint. Now apply this arbitrary reporting code: if the scientific answer is lower, output B; if it is higher, output A. Answer exactly one uppercase letter: A or B."
